Description	
Number of Runs	150
Preset Time	10
Pause Time	0
Alarm Level	0
High Voltage	445
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	445	4	10	10/16/19 05:15:25 PM	
2	445	4	10	10/16/19 05:15:35 PM	
3	445	6	10	10/16/19 05:15:45 PM	
4	445	0	10	10/16/19 05:15:55 PM	
5	445	4	10	10/16/19 05:16:05 PM	
6	445	2	10	10/16/19 05:16:16 PM	
7	445	1	10	10/16/19 05:16:26 PM	
8	445	3	10	10/16/19 05:16:36 PM	
9	445	2	10	10/16/19 05:16:46 PM	
10	445	3	10	10/16/19 05:16:57 PM	
11	445	12	10	10/16/19 05:17:07 PM	
12	445	1	10	10/16/19 05:17:17 PM	
13	445	6	10	10/16/19 05:17:27 PM	
14	445	3	10	10/16/19 05:17:37 PM	
15	445	2	10	10/16/19 05:17:48 PM	
16	445	8	10	10/16/19 05:17:58 PM	
17	445	1	10	10/16/19 05:18:08 PM	
18	445	3	10	10/16/19 05:18:18 PM	
19	445	1	10	10/16/19 05:18:29 PM	
20	445	0	10	10/16/19 05:18:39 PM	
21	445	5	10	10/16/19 05:18:49 PM	
22	445	0	10	10/16/19 05:18:59 PM	
23	445	4	10	10/16/19 05:19:09 PM	
24	445	3	10	10/16/19 05:19:20 PM	
25	445	4	10	10/16/19 05:19:30 PM	
26	445	4	10	10/16/19 05:19:40 PM	
27	445	6	10	10/16/19 05:19:50 PM	
28	445	2	10	10/16/19 05:20:01 PM	
29	445	4	10	10/16/19 05:20:11 PM	
30	445	3	10	10/16/19 05:20:21 PM	
31	445	6	10	10/16/19 05:20:31 PM	
32	445	0	10	10/16/19 05:20:41 PM	
33	445	8	10	10/16/19 05:20:52 PM	
34	445	3	10	10/16/19 05:21:02 PM	
35	445	4	10	10/16/19 05:21:12 PM	
36	445	9	10	10/16/19 05:21:22 PM	
37	445	6	10	10/16/19 05:21:33 PM	
38	445	3	10	10/16/19 05:21:43 PM	
39	445	6	10	10/16/19 05:21:53 PM	
40	445	3	10	10/16/19 05:22:03 PM	
41	445	6	10	10/16/19 05:22:14 PM	
42	445	11	10	10/16/19 05:22:24 PM	
43	445	2	10	10/16/19 05:22:34 PM	
44	445	0	10	10/16/19 05:22:44 PM	
45	445	7	10	10/16/19 05:22:54 PM	
46	445	6	10	10/16/19 05:23:05 PM	
