Description	
Number of Runs	15
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	400
Step Voltage	5
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	400	0	30	10/16/19 04:45:41 PM	
2	405	0	30	10/16/19 04:46:11 PM	
3	410	0	30	10/16/19 04:46:41 PM	
4	415	0	30	10/16/19 04:47:12 PM	
5	420	0	30	10/16/19 04:47:42 PM	
6	425	0	30	10/16/19 04:48:13 PM	
7	430	0	30	10/16/19 04:48:43 PM	
8	435	0	30	10/16/19 04:49:13 PM	
9	440	304	30	10/16/19 04:49:44 PM	
10	445	350	30	10/16/19 04:50:14 PM	
11	450	559	30	10/16/19 04:50:44 PM	
12	455	591	30	10/16/19 04:51:15 PM	
13	460	710	30	10/16/19 04:51:45 PM	
14	465	810	30	10/16/19 04:52:16 PM	
15	470	1592	30	10/16/19 04:52:46 PM	
